Year	Month	Day	SimDay	Season	0.05m	0.15m	0.25m	0.375m	0.525m	0.7m	0.9m	1.125m	1.375m	1.625m	1.875m	2.15m	
2021	 3	 6	       1	1	0.4422	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	 7	       2	1	0.4157	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	 8	       3	1	0.3940	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	 9	       4	1	0.3772	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	10	       5	1	0.3615	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	11	       6	1	0.3564	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	12	       7	1	0.3445	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	13	       8	1	0.3306	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	14	       9	1	0.3841	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	15	      10	1	0.3980	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	16	      11	1	0.4751	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 3	17	      12	1	0.4611	0.4665	0.4651	0.4643	0.4640	0.4639	0.4638	0.4638	0.4638	0.4638	0.4637	0.4637	
2021	 3	18	      13	1	0.4566	0.4650	0.4643	0.4643	0.4641	0.4640	0.4639	0.4639	0.4638	0.4638	0.4638	0.4638	
2021	 3	19	      14	1	0.4665	0.4643	0.4640	0.4640	0.4640	0.4640	0.4639	0.4639	0.4638	0.4638	0.4638	0.4638	
2021	 3	20	      15	1	0.5772	0.4646	0.4642	0.4640	0.4639	0.4639	0.4639	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 3	21	      16	1	0.4854	0.4923	0.4786	0.4702	0.4665	0.4653	0.4646	0.4643	0.4641	0.4640	0.4640	0.4639	
2021	 3	22	      17	1	0.4357	0.4760	0.4745	0.4720	0.4688	0.4671	0.4659	0.4653	0.4648	0.4646	0.4644	0.4643	
2021	 3	23	      18	1	0.4841	0.4690	0.4684	0.4673	0.4672	0.4666	0.4660	0.4655	0.4651	0.4649	0.4647	0.4645	
2021	 3	24	      19	1	0.4503	0.4710	0.4674	0.4665	0.4658	0.4655	0.4653	0.4651	0.4649	0.4647	0.4646	0.4645	
2021	 3	25	      20	1	0.5035	0.4669	0.4653	0.4653	0.4651	0.4649	0.4647	0.4646	0.4645	0.4644	0.4644	0.4643	
2021	 3	26	      21	1	0.5378	0.4986	0.4694	0.4665	0.4653	0.4649	0.4646	0.4644	0.4643	0.4642	0.4642	0.4642	
2021	 3	27	      22	1	0.4612	0.4945	0.4813	0.4754	0.4707	0.4665	0.4657	0.4651	0.4650	0.4645	0.4644	0.4642	
2021	 3	28	      23	1	0.4305	0.4769	0.4713	0.4707	0.4696	0.4684	0.4669	0.4661	0.4654	0.4651	0.4648	0.4647	
2021	 3	29	      24	1	0.4044	0.4694	0.4670	0.4668	0.4668	0.4666	0.4662	0.4658	0.4654	0.4652	0.4649	0.4648	
2021	 3	30	      25	1	0.3849	0.4662	0.4652	0.4651	0.4651	0.4650	0.4650	0.4649	0.4648	0.4647	0.4646	0.4645	
2021	 3	31	      26	1	0.3704	0.4648	0.4644	0.4643	0.4643	0.4643	0.4643	0.4643	0.4643	0.4643	0.4642	0.4642	
2021	 4	 1	      27	1	0.4864	0.4642	0.4640	0.4640	0.4640	0.4640	0.4640	0.4640	0.4640	0.4640	0.4640	0.4640	
2021	 4	 2	      28	1	0.4283	0.4702	0.4690	0.4650	0.4645	0.4641	0.4641	0.4639	0.4639	0.4639	0.4639	0.4639	
2021	 4	 3	      29	1	0.3854	0.4666	0.4660	0.4654	0.4648	0.4644	0.4642	0.4641	0.4640	0.4639	0.4639	0.4639	
2021	 4	 4	      30	1	0.3649	0.4650	0.4647	0.4645	0.4645	0.4643	0.4642	0.4641	0.4640	0.4640	0.4639	0.4639	
2021	 4	 5	      31	1	0.4606	0.4643	0.4642	0.4641	0.4641	0.4641	0.4640	0.4640	0.4640	0.4639	0.4639	0.4639	
2021	 4	 6	      32	1	0.4188	0.4640	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4638	0.4638	
2021	 4	 7	      33	1	0.4003	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 4	 8	      34	1	0.5576	0.4941	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 4	 9	      35	1	0.4663	0.4991	0.4823	0.4755	0.4690	0.4656	0.4652	0.4644	0.4643	0.4641	0.4640	0.4639	
2021	 4	10	      36	1	0.5092	0.4788	0.4720	0.4719	0.4701	0.4683	0.4667	0.4659	0.4652	0.4649	0.4646	0.4644	
2021	 4	11	      37	1	0.5522	0.5199	0.4727	0.4696	0.4682	0.4675	0.4667	0.4661	0.4656	0.4652	0.4650	0.4648	
2021	 4	12	      38	1	0.4584	0.5001	0.4897	0.4774	0.4710	0.4687	0.4672	0.4665	0.4659	0.4655	0.4652	0.4650	
2021	 4	13	      39	1	0.4661	0.4792	0.4749	0.4727	0.4710	0.4692	0.4677	0.4669	0.4662	0.4657	0.4654	0.4652	
2021	 4	14	      40	1	0.4714	0.4704	0.4686	0.4679	0.4678	0.4674	0.4668	0.4663	0.4659	0.4656	0.4653	0.4651	
2021	 4	15	      41	1	0.4281	0.4670	0.4667	0.4662	0.4658	0.4657	0.4655	0.4654	0.4652	0.4650	0.4649	0.4648	
2021	 4	16	      42	1	0.3917	0.4652	0.4650	0.4648	0.4647	0.4647	0.4646	0.4646	0.4645	0.4645	0.4644	0.4644	
2021	 4	17	      43	1	0.3618	0.4644	0.4643	0.4642	0.4642	0.4642	0.4641	0.4641	0.4641	0.4641	0.4641	0.4641	
2021	 4	18	      44	1	0.3393	0.4640	0.4640	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	
2021	 4	19	      45	1	0.3167	0.4639	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 4	20	      46	1	0.2810	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 4	21	      47	1	0.2536	0.4615	0.4638	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	22	      48	1	0.2503	0.4501	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	23	      49	1	0.2453	0.4257	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	24	      50	1	0.2815	0.4257	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	25	      51	1	0.3296	0.4257	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	26	      52	1	0.2893	0.4257	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	27	      53	1	0.3296	0.4257	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	28	      54	1	0.3931	0.4257	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	29	      55	1	0.5427	0.4541	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 4	30	      56	1	0.5392	0.4694	0.4717	0.4671	0.4651	0.4645	0.4642	0.4640	0.4639	0.4639	0.4638	0.4638	
2021	 5	 1	      57	1	0.5781	0.4548	0.4777	0.4703	0.4694	0.4660	0.4652	0.4648	0.4646	0.4642	0.4642	0.4640	
2021	 5	 2	      58	1	0.5800	0.4747	0.4780	0.4727	0.4717	0.4679	0.4665	0.4658	0.4657	0.4649	0.4648	0.4645	
2021	 5	 3	      59	1	0.5831	0.5654	0.4812	0.4748	0.4706	0.4691	0.4676	0.4666	0.4659	0.4655	0.4652	0.4650	
2021	 5	 4	      60	1	0.5026	0.5117	0.5065	0.4879	0.4791	0.4726	0.4726	0.4683	0.4671	0.4669	0.4660	0.4656	
2021	 5	 5	      61	1	0.4732	0.4840	0.4822	0.4820	0.4775	0.4745	0.4715	0.4701	0.4686	0.4676	0.4670	0.4665	
2021	 5	 6	      62	1	0.4742	0.4725	0.4717	0.4716	0.4710	0.4704	0.4695	0.4687	0.4679	0.4673	0.4668	0.4665	
2021	 5	 7	      63	1	0.4337	0.4683	0.4676	0.4674	0.4672	0.4671	0.4669	0.4667	0.4664	0.4661	0.4659	0.4657	
2021	 5	 8	      64	1	0.5185	0.4657	0.4654	0.4653	0.4653	0.4652	0.4651	0.4651	0.4651	0.4650	0.4650	0.4649	
2021	 5	 9	      65	1	0.4815	0.4781	0.4711	0.4672	0.4656	0.4651	0.4648	0.4646	0.4645	0.4645	0.4644	0.4644	
2021	 5	10	      66	1	0.4278	0.4705	0.4701	0.4683	0.4665	0.4656	0.4650	0.4647	0.4645	0.4644	0.4643	0.4642	
2021	 5	11	      67	1	0.3946	0.4666	0.4665	0.4657	0.4657	0.4653	0.4650	0.4648	0.4645	0.4644	0.4643	0.4642	
2021	 5	12	      68	1	0.3635	0.4650	0.4649	0.4646	0.4646	0.4646	0.4645	0.4644	0.4643	0.4643	0.4642	0.4642	
2021	 5	13	      69	1	0.3146	0.4643	0.4643	0.4641	0.4641	0.4641	0.4641	0.4641	0.4641	0.4640	0.4640	0.4640	
2021	 5	14	      70	1	0.2700	0.4640	0.4640	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	0.4639	
2021	 5	15	      71	1	0.2546	0.4433	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 5	16	      72	1	0.2530	0.4101	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	0.4638	
2021	 5	17	      73	1	0.2558	0.4101	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
2021	 5	18	      74	1	0.2533	0.4057	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	0.4637	
