Year	Month	Day	SimDay	Season	wRZ	zGW	wSurf	Irr	Infl	RO	DP	CR	GWin	Es	EsX	Tr	TrX	
2021	 3	 6	       1	1	136.96	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 2.66	 2.86	 0.00	 0.00	
2021	 3	 7	       2	1	134.32	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 2.65	 3.52	 0.00	 0.00	
2021	 3	 8	       3	1	132.15	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 2.17	 3.52	 0.00	 0.00	
2021	 3	 9	       4	1	130.47	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 1.68	 3.19	 0.00	 0.00	
2021	 3	10	       5	1	128.90	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 1.57	 3.41	 0.00	 0.00	
2021	 3	11	       6	1	128.39	-999.00	  0.00	 0.00	 2.00	 0.00	 0.00	 0.00	 0.00	 2.51	 2.53	 0.00	 0.00	
2021	 3	12	       7	1	127.20	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 1.69	 1.76	 0.00	 0.00	
2021	 3	13	       8	1	125.80	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 1.89	 1.98	 0.00	 0.00	
2021	 3	14	       9	1	131.16	-999.00	  0.00	 0.00	 8.43	 0.07	 0.00	 0.00	 0.00	 3.08	 3.08	 0.00	 0.00	
2021	 3	15	      10	1	132.55	-999.00	  0.00	 0.00	 3.70	 0.00	 0.00	 0.00	 0.00	 2.31	 2.31	 0.00	 0.00	
2021	 3	16	      11	1	140.26	-999.00	  0.00	 0.00	 9.47	 0.53	 0.00	 0.00	 0.00	 1.76	 1.76	 0.00	 0.00	
2021	 3	17	      12	1	139.28	-999.00	  0.00	 0.00	 2.96	 0.04	 0.03	 0.00	 0.00	 3.71	 3.74	 0.00	 0.00	
2021	 3	18	      13	1	138.59	-999.00	  0.00	 0.00	 2.96	 0.04	 0.10	 0.00	 0.00	 3.40	 3.41	 0.00	 0.00	
2021	 3	19	      14	1	148.76	-999.00	  0.00	 0.00	 2.97	 0.03	 0.15	 0.00	 0.00	 1.98	 1.98	 0.00	 0.00	
2021	 3	20	      15	1	164.52	-999.00	  0.00	 0.00	12.33	 4.67	 0.16	 0.00	 0.00	 1.09	 1.09	 0.01	 0.01	
2021	 3	21	      16	1	164.44	-999.00	  0.00	 0.00	 0.00	 0.00	 0.45	 0.00	 0.00	 2.39	 2.39	 0.03	 0.03	
2021	 3	22	      17	1	162.22	-999.00	  0.00	 0.00	 0.00	 0.00	 1.27	 0.00	 0.00	 3.68	 3.68	 0.06	 0.06	
2021	 3	23	      18	1	170.20	-999.00	  0.00	 0.00	 8.37	 0.83	 1.98	 0.00	 0.00	 3.46	 3.46	 0.06	 0.06	
2021	 3	24	      19	1	171.52	-999.00	  0.00	 0.00	 1.20	 0.00	 2.00	 0.00	 0.00	 3.36	 3.56	 0.07	 0.07	
2021	 3	25	      20	1	180.80	-999.00	  0.00	 0.00	10.71	 2.29	 1.55	 0.00	 0.00	 5.27	 5.27	 0.12	 0.12	
2021	 3	26	      21	1	192.57	-999.00	  0.00	 0.00	13.26	 5.74	 1.13	 0.00	 0.00	 5.04	 5.04	 0.13	 0.13	
2021	 3	27	      22	1	191.24	-999.00	  0.00	 0.00	 1.00	 0.00	 1.38	 0.00	 0.00	 3.24	 3.42	 0.10	 0.10	
2021	 3	28	      23	1	189.66	-999.00	  0.00	 0.00	 0.00	 0.00	 2.27	 0.00	 0.00	 2.93	 4.15	 0.13	 0.13	
2021	 3	29	      24	1	185.43	-999.00	  0.00	 0.00	 0.00	 0.00	 2.68	 0.00	 0.00	 2.45	 4.45	 0.16	 0.16	
2021	 3	30	      25	1	187.44	-999.00	  0.00	 0.00	 0.00	 0.00	 2.18	 0.00	 0.00	 1.78	 3.90	 0.16	 0.16	
2021	 3	31	      26	1	190.32	-999.00	  0.00	 0.00	 0.00	 0.00	 1.35	 0.00	 0.00	 1.29	 3.25	 0.16	 0.16	
2021	 4	 1	      27	1	206.42	-999.00	  0.00	 0.00	16.22	 1.78	 0.69	 0.00	 0.00	 4.38	 4.38	 0.24	 0.24	
2021	 4	 2	      28	1	206.50	-999.00	  0.00	 0.00	 0.80	 0.00	 0.40	 0.00	 0.00	 4.63	 5.28	 0.33	 0.33	
2021	 4	 3	      29	1	206.27	-999.00	  0.00	 0.00	 1.30	 0.00	 0.38	 0.00	 0.00	 5.17	 5.85	 0.41	 0.41	
2021	 4	 4	      30	1	203.78	-999.00	  0.00	 0.00	 2.00	 0.00	 0.45	 0.00	 0.00	 3.74	 3.86	 0.31	 0.31	
2021	 4	 5	      31	1	217.79	-999.00	  0.00	 0.00	13.08	 0.92	 0.42	 0.00	 0.00	 3.22	 3.22	 0.30	 0.30	
2021	 4	 6	      32	1	218.17	-999.00	  0.00	 0.00	 0.00	 0.00	 0.29	 0.00	 0.00	 3.78	 3.78	 0.40	 0.40	
2021	 4	 7	      33	1	220.92	-999.00	  0.00	 0.00	 1.00	 0.00	 0.16	 0.00	 0.00	 2.53	 2.65	 0.32	 0.32	
2021	 4	 8	      34	1	239.66	-999.00	  0.00	 0.00	21.95	 7.05	 0.08	 0.00	 0.00	 2.80	 2.80	 0.39	 0.39	
2021	 4	 9	      35	1	239.55	-999.00	  0.00	 0.00	 1.00	 0.00	 0.47	 0.00	 0.00	 3.08	 3.22	 0.51	 0.51	
2021	 4	10	      36	1	244.98	-999.00	  0.00	 0.00	 7.94	 1.36	 1.68	 0.00	 0.00	 2.97	 2.97	 0.54	 0.54	
2021	 4	11	      37	1	253.01	-999.00	  0.00	 0.00	14.52	 7.48	 2.63	 0.00	 0.00	 3.08	 3.08	 0.65	 0.65	
2021	 4	12	      38	1	249.40	-999.00	  0.00	 0.00	 0.00	 0.00	 3.21	 0.00	 0.00	 3.35	 3.35	 0.82	 0.82	
2021	 4	13	      39	1	250.61	-999.00	  0.00	 0.00	 4.72	 0.28	 3.72	 0.00	 0.00	 3.08	 3.08	 0.87	 0.87	
2021	 4	14	      40	1	253.33	-999.00	  0.00	 0.00	 4.72	 0.28	 3.67	 0.00	 0.00	 3.06	 3.06	 1.00	 1.00	
2021	 4	15	      41	1	248.03	-999.00	  0.00	 0.00	 0.00	 0.00	 2.88	 0.00	 0.00	 2.81	 2.85	 1.09	 1.09	
2021	 4	16	      42	1	248.38	-999.00	  0.00	 0.00	 0.00	 0.00	 1.84	 0.00	 0.00	 2.28	 3.03	 1.36	 1.36	
2021	 4	17	      43	1	249.73	-999.00	  0.00	 0.00	 0.00	 0.00	 1.01	 0.00	 0.00	 1.55	 2.72	 1.44	 1.44	
2021	 4	18	      44	1	247.35	-999.00	  0.00	 0.00	 0.00	 0.00	 0.50	 0.00	 0.00	 0.94	 2.09	 1.31	 1.31	
2021	 4	19	      45	1	249.67	-999.00	  0.00	 0.00	 0.00	 0.00	 0.23	 0.00	 0.00	 0.75	 2.00	 1.50	 1.50	
2021	 4	20	      46	1	246.08	-999.00	  0.00	 0.00	 1.00	 0.00	 0.10	 0.00	 0.00	 2.23	 2.58	 2.34	 2.34	
2021	 4	21	      47	1	247.73	-999.00	  0.00	 0.00	 0.00	 0.00	 0.05	 0.00	 0.00	 0.96	 1.81	 2.01	 2.01	
2021	 4	22	      48	1	250.89	-999.00	  0.00	 0.00	 0.00	 0.00	 0.02	 0.00	 0.00	 0.33	 0.82	 1.14	 1.14	
2021	 4	23	      49	1	247.96	-999.00	  0.00	 0.00	 0.00	 0.00	 0.01	 0.00	 0.00	 0.49	 1.39	 2.43	 2.43	
2021	 4	24	      50	1	256.22	-999.00	  0.00	 0.00	 7.00	 0.00	 0.00	 0.00	 0.00	 1.07	 1.07	 2.31	 2.31	
2021	 4	25	      51	1	261.03	-999.00	  0.00	 8.39	 8.95	 0.00	 0.00	 0.00	 0.00	 1.15	 1.15	 3.00	 3.00	
2021	 4	26	      52	1	256.99	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.98	 0.98	 3.05	 3.05	
2021	 4	27	      53	1	261.03	-999.00	  0.00	 0.00	 6.00	 0.00	 0.00	 0.00	 0.00	 0.42	 0.42	 1.54	 1.54	
2021	 4	28	      54	1	267.38	-999.00	  0.00	 8.68	10.81	 0.00	 0.00	 0.00	 0.00	 0.86	 0.86	 3.61	 3.61	
2021	 4	29	      55	1	285.17	-999.00	  0.00	 0.00	22.48	 5.52	 0.00	 0.00	 0.00	 0.80	 0.80	 3.88	 3.88	
2021	 4	30	      56	1	287.86	-999.00	  0.00	 0.00	 8.41	 1.59	 0.17	 0.00	 0.00	 0.78	 0.78	 4.33	 4.33	
2021	 5	 1	      57	1	292.02	-999.00	  0.00	 0.00	10.23	 2.77	 0.77	 0.00	 0.00	 0.57	 0.57	 3.57	 3.57	
2021	 5	 2	      58	1	294.92	-999.00	  0.00	 0.00	10.23	 2.77	 1.94	 0.00	 0.00	 0.47	 0.47	 3.34	 3.34	
2021	 5	 3	      59	1	304.78	-999.00	  0.00	 0.00	16.93	11.87	 3.10	 0.00	 0.00	 0.32	 0.32	 2.51	 2.51	
2021	 5	 4	      60	1	297.13	-999.00	  0.00	 0.00	 4.97	 0.33	 4.92	 0.00	 0.00	 0.47	 0.47	 4.10	 4.10	
2021	 5	 5	      61	1	287.87	-999.00	  0.00	 0.00	 4.30	 0.20	 6.87	 0.00	 0.00	 0.47	 0.47	 4.53	 4.53	
2021	 5	 6	      62	1	283.23	-999.00	  0.00	 0.00	 5.53	 0.47	 7.11	 0.00	 0.00	 0.42	 0.42	 4.47	 4.47	
2021	 5	 7	      63	1	277.15	-999.00	  0.00	 0.00	 1.00	 0.00	 5.44	 0.00	 0.00	 0.36	 0.36	 4.11	 4.11	
2021	 5	 8	      64	1	284.55	-999.00	  0.00	 0.00	12.40	 2.60	 3.30	 0.00	 0.00	 0.29	 0.29	 3.63	 3.63	
2021	 5	 9	      65	1	282.99	-999.00	  0.00	 0.00	 4.04	 0.16	 1.85	 0.00	 0.00	 0.31	 0.31	 4.26	 4.26	
2021	 5	10	      66	1	277.06	-999.00	  0.00	 0.00	 1.00	 0.00	 1.37	 0.00	 0.00	 0.35	 0.35	 5.09	 5.09	
2021	 5	11	      67	1	272.48	-999.00	  0.00	 0.00	 2.00	 0.00	 1.31	 0.00	 0.00	 0.32	 0.32	 5.01	 5.01	
2021	 5	12	      68	1	268.72	-999.00	  0.00	 0.00	 2.00	 0.00	 1.12	 0.00	 0.00	 0.29	 0.29	 4.82	 4.82	
2021	 5	13	      69	1	263.54	-999.00	  0.00	 0.00	 0.00	 0.00	 0.76	 0.00	 0.00	 0.26	 0.26	 4.63	 4.63	
2021	 5	14	      70	1	258.96	-999.00	  0.00	 0.00	 0.00	 0.00	 0.42	 0.00	 0.00	 0.23	 0.23	 4.23	 4.23	
2021	 5	15	      71	1	255.32	-999.00	  0.00	 0.00	 0.00	 0.00	 0.20	 0.00	 0.00	 0.17	 0.17	 3.41	 3.41	
2021	 5	16	      72	1	251.82	-999.00	  0.00	 0.00	 0.00	 0.00	 0.08	 0.00	 0.00	 0.16	 0.16	 3.32	 3.32	
2021	 5	17	      73	1	252.09	-999.00	  0.00	 0.00	 3.00	 0.00	 0.04	 0.00	 0.00	 0.12	 0.12	 2.60	 2.60	
2021	 5	18	      74	1	251.39	-999.00	  0.00	 0.00	 3.00	 0.00	 0.02	 0.00	 0.00	 0.16	 0.16	 3.54	 3.54	
2021	 5	19	      75	1	259.83	-999.00	  0.00	13.24	11.92	 0.00	 0.01	 0.00	 0.00	 0.14	 0.14	 3.34	 3.34	
2021	 5	20	      76	1	255.04	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.20	 0.20	 4.59	 4.59	
2021	 5	21	      77	1	262.15	-999.00	  0.00	14.54	13.09	 0.00	 0.00	 0.00	 0.00	 0.24	 0.24	 5.74	 5.74	
2021	 5	22	      78	1	256.06	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.24	 0.24	 5.85	 5.85	
2021	 5	23	      79	1	265.31	-999.00	  0.00	16.20	14.58	 0.00	 0.00	 0.00	 0.00	 0.20	 0.20	 5.13	 5.13	
2021	 5	24	      80	1	261.35	-999.00	  0.00	 0.00	 0.50	 0.00	 0.00	 0.00	 0.00	 0.17	 0.17	 4.29	 4.29	
2021	 5	25	      81	1	270.83	-999.00	  0.00	14.75	13.28	 0.00	 0.00	 0.00	 0.00	 0.14	 0.14	 3.66	 3.66	
2021	 5	26	      82	1	267.03	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.14	 0.14	 3.66	 3.66	
2021	 5	27	      83	1	276.41	-999.00	  0.00	14.27	12.84	 0.00	 0.00	 0.00	 0.00	 0.12	 0.12	 3.34	 3.34	
2021	 5	28	      84	1	272.19	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.15	 0.15	 4.07	 4.07	
2021	 5	29	      85	1	268.19	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.14	 0.14	 3.86	 3.86	
2021	 5	30	      86	1	264.09	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.14	 0.14	 3.96	 3.96	
2021	 5	31	      87	1	261.17	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.10	 0.10	 2.81	 2.81	
2021	 6	 1	      88	1	258.28	-999.00	  0.00	 0.00	 0.20	 0.00	 0.00	 0.00	 0.00	 0.10	 0.10	 2.99	 2.99	
2021	 6	 2	      89	1	271.11	-999.00	  0.00	 0.00	14.64	 0.36	 0.00	 0.00	 0.00	 0.06	 0.06	 1.75	 1.75	
2021	 6	 3	      90	1	268.77	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.08	 0.08	 2.26	 2.26	
2021	 6	 4	      91	1	291.54	-999.00	  0.00	 0.00	26.31	11.79	 0.00	 0.00	 0.00	 0.12	 0.12	 3.42	 3.42	
2021	 6	 5	      92	1	289.68	-999.00	  0.00	 0.00	 0.00	 0.00	 0.48	 0.00	 0.00	 0.00	 0.00	 0.13	 0.13	
2021	 6	 6	      93	1	283.30	-999.00	  0.00	 0.00	 0.00	 0.00	 1.77	 0.00	 0.00	 0.08	 0.08	 2.42	 2.42	
2021	 6	 7	      94	1	278.56	-999.00	  0.00	 0.00	 0.00	 0.00	 2.83	 0.00	 0.00	 0.05	 0.05	 1.50	 1.50	
2021	 6	 8	      95	1	273.39	-999.00	  0.00	 0.00	 0.00	 0.00	 2.74	 0.00	 0.00	 0.11	 0.11	 3.44	 3.44	
2021	 6	 9	      96	1	270.40	-999.00	  0.00	 0.02	 0.42	 0.00	 1.89	 0.00	 0.00	 0.09	 0.09	 2.62	 2.62	
2021	 6	10	      97	1	272.17	-999.00	  0.00	 0.00	 4.18	 0.00	 1.03	 0.00	 0.00	 0.07	 0.07	 2.04	 2.04	
2021	 6	11	      98	1	271.39	-999.00	  0.00	 0.00	 0.00	 0.00	 0.49	 0.00	 0.00	 0.02	 0.02	 0.63	 0.63	
2021	 6	12	      99	1	290.56	-999.00	  0.00	 0.00	21.68	 6.12	 0.22	 0.00	 0.00	 0.08	 0.08	 2.37	 2.37	
2021	 6	13	     100	1	287.51	-999.00	  0.00	 0.00	 0.80	 0.00	 0.52	 0.00	 0.00	 0.08	 0.08	 2.29	 2.29	
2021	 6	14	     101	1	281.60	-999.00	  0.00	 0.00	 0.00	 0.00	 1.65	 0.00	 0.00	 0.07	 0.07	 2.16	 2.16	
2021	 6	15	     102	1	281.36	-999.00	  0.00	 0.48	 4.89	 0.15	 2.52	 0.00	 0.00	 0.08	 0.08	 2.47	 2.47	
2021	 6	16	     103	1	278.39	-999.00	  0.00	 0.00	 0.80	 0.00	 2.38	 0.00	 0.00	 0.07	 0.07	 2.26	 2.26	
2021	 6	17	     104	1	275.03	-999.00	  0.00	 0.00	 0.00	 0.00	 1.66	 0.00	 0.00	 0.08	 0.08	 2.55	 2.55	
2021	 6	18	     105	1	272.06	-999.00	  0.00	 0.00	 0.00	 0.00	 0.96	 0.00	 0.00	 0.08	 0.08	 2.55	 2.55	
2021	 6	19	     106	1	269.28	-999.00	  0.00	 0.00	 0.00	 0.00	 0.49	 0.00	 0.00	 0.09	 0.09	 2.54	 2.54	
2021	 6	20	     107	1	266.60	-999.00	  0.00	 0.00	 0.00	 0.00	 0.23	 0.00	 0.00	 0.09	 0.09	 2.54	 2.54	
2021	 6	21	     108	1	263.95	-999.00	  0.00	 0.00	 0.00	 0.00	 0.11	 0.00	 0.00	 0.09	 0.09	 2.53	 2.53	
2021	 6	22	     109	1	261.33	-999.00	  0.00	 0.00	 0.00	 0.00	 0.05	 0.00	 0.00	 0.09	 0.09	 2.52	 2.52	
2021	 6	23	     110	1	258.72	-999.00	  0.00	 0.00	 0.00	 0.00	 0.02	 0.00	 0.00	 0.09	 0.09	 2.51	 2.51	
2021	 6	24	     111	1	256.12	-999.00	  0.00	 0.00	 0.00	 0.00	 0.01	 0.00	 0.00	 0.09	 0.09	 2.50	 2.50	
2021	 6	25	     112	1	253.57	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.05	 0.10	 2.50	 2.50	
2021	 6	26	     113	1	251.05	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.03	 0.10	 2.49	 2.49	
2021	 6	27	     114	1	248.54	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.03	 0.10	 2.48	 2.48	
2021	 6	28	     115	1	246.04	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.03	 0.10	 2.47	 2.47	
2021	 6	29	     116	1	243.56	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.02	 0.10	 2.46	 2.46	
2021	 6	30	     117	1	241.08	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.02	 0.11	 2.46	 2.46	
2021	 7	 1	     118	1	238.62	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.02	 0.11	 2.45	 2.45	
2021	 7	 2	     119	1	236.16	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.02	 0.11	 2.44	 2.44	
2021	 7	 3	     120	1	233.72	-999.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.01	 0.11	 2.43	 2.43	
2021	 7	 4	       0	0	  0.00	  0.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	
2021	 7	 5	       0	0	  0.00	  0.00	  0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	 0.00	
