CodigoEstacion,NombreEstacion,Latitud,Longitud,Altitud,Categoria,Entidad,AreaOperativa,Departamento,Municipio,FechaInstalacion,FechaSuspension,IdParametro,Etiqueta,DescripcionSerie,Frecuencia,Fecha,Valor,Grado,Calificador,NivelAprobacion
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-01 00:00,1984,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-02 00:00,1925,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-03 00:00,2263,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-04 00:00,2348,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-05 00:00,2226,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-06 00:00,2089,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-07 00:00,1998,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-08 00:00,1947,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-09 00:00,1836,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-10 00:00,1717,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-11 00:00,1651,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-12 00:00,2514,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-13 00:00,2518,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-14 00:00,2582,50,,900
35095120,AQUITANIA - AUT [35095120],5.5566388890,-72.881750,321,Climática Principal,INSTITUTO DE HIDROLOGIA METEOROLOGIA Y ESTUDIOS AMBIENTALES,Area Operativa 06 - Boyacá-Casanare-Vichada,Boyacá,Aquitania,06/12/2004 00:00,,EVAPORACION,EV_TT_D,Evaporación total diaria,Diaria,2019-12-15 00:00,2715,50,,900
