"NombreEstacion","Latitud","Longitud","DescripcionSerie","Fecha","Valor"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-01 00:00","23.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-02 00:00","20.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-03 00:00","22.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-04 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-05 00:00","23.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-06 00:00",24
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-07 00:00","23.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-08 00:00","22.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-09 00:00",24
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-10 00:00","22.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-11 00:00","23.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-12 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-13 00:00","23.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-14 00:00",20
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-15 00:00","21.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-16 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-17 00:00","23.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-18 00:00","23.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-19 00:00","25.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-20 00:00","23.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-21 00:00","22.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-22 00:00","19.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-23 00:00",22
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-24 00:00","22.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-25 00:00","23.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-26 00:00",22
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-27 00:00","22.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-28 00:00","23.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-29 00:00","23.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-30 00:00","22.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2019-12-31 00:00","23.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-01 00:00",25
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-02 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-03 00:00","23.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-04 00:00",25
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-05 00:00","23.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-06 00:00","25.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-07 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-10 00:00","25.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-11 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-12 00:00","22.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-13 00:00","25.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-14 00:00","24.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-15 00:00","23.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-16 00:00","23.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-17 00:00","21.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-18 00:00","21.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-19 00:00","23.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-20 00:00","22.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-21 00:00","21.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-22 00:00","22.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-23 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-24 00:00","24.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Temperatura máxima diaria","2020-01-25 00:00","23.8"
