"NombreEstacion","Latitud","Longitud","Municipio","DescripcionSerie","Fecha","Valor"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-01 00:00",11
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-02 00:00","7.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-03 00:00","2.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-04 00:00","3.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-05 00:00","2.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-06 00:00","0.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-07 00:00","2.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-08 00:00",5
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-09 00:00","8.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-10 00:00","4.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-11 00:00","6.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-12 00:00","7.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-13 00:00","7.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-14 00:00",12
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-15 00:00",11
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-16 00:00","11.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-17 00:00",3
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-18 00:00","4.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-19 00:00","4.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-20 00:00","2.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-21 00:00","7.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-22 00:00",11
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-24 00:00","4.6"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-25 00:00","5.2"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-26 00:00","9.8"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-27 00:00","8.4"
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-28 00:00",5
"AEROPUERTO A LLERAS C [24035340]","5.6769444440","-72.96791667","Sogamoso","Temperatura mínima diaria","2019-12-29 00:00","4.8"
