Date	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2020-06-01	22.89	9.72	1.52	1.02
2020-06-02	18.00	9.28	2.54	2.54
2020-06-03	18.67	9.00	2.82	0.00
2020-06-04	23.06	8.06	2.54	2.54
2020-06-05	17.89	8.89	2.54	2.54
2020-06-06	14.17	7.78	1.78	1.52
2020-06-07	18.64	7.89	2.82	0.00
2020-06-08	18.64	7.89	2.82	0.00
2020-06-09	32.83	12.94	2.82	0.00
2020-06-10	23.17	10.17	1.78	36.58
2020-06-11	17.50	11.33	1.52	2.79
2020-06-12	16.94	11.78	2.82	0.00
2020-06-13	23.61	17.22	2.82	0.00
2020-06-14	21.67	10.78	2.29	4.06
2020-06-15	14.94	8.94	1.27	0.51
2020-06-16	17.94	11.89	2.29	0.51
2020-06-17	18.11	10.17	2.82	0.00
2020-06-18	18.94	10.50	1.78	0.25
2020-06-19	18.56	8.78	3.05	0.25
2020-06-20	17.83	10.72	2.03	7.87
2020-06-21	15.89	11.06	2.82	0.00
2020-06-22	18.64	7.89	2.82	0.00
2020-06-23	17.33	9.78	2.82	0.00
2020-06-24	17.06	5.89	2.82	0.00
2020-06-25	17.33	10.06	2.82	0.00
2020-06-26	17.06	9.44	2.03	0.76
2020-06-27	18.22	9.44	2.82	0.00
2020-06-28	22.39	21.00	0.76	0.25
2020-06-29	18.06	10.89	3.05	0.25
2020-06-30	26.33	17.61	2.82	0.00
2020-07-01	20.06	11.17	2.29	4.06
2020-07-02	22.56	8.67	2.82	0.00
2020-07-03	25.83	10.72	2.82	0.00
2020-07-04	19.28	9.33	1.52	1.02
2020-07-05	19.00	10.61	2.82	0.00
2020-07-06	18.64	7.89	2.82	0.00
2020-07-07	18.64	7.89	2.82	0.00
2020-07-08	18.64	7.89	2.82	0.00
2020-07-09	18.64	7.89	2.82	0.00
2020-07-10	18.64	7.89	2.82	0.00
2020-07-11	17.39	9.72	1.27	0.25
2020-07-12	17.61	9.11	2.54	2.54
2020-07-13	23.78	9.50	3.56	0.76
2020-07-14	36.17	31.22	2.82	0.00
2020-07-15	38.67	26.56	3.56	2.03
2020-07-16	23.50	16.50	2.82	0.00
2020-07-17	20.72	12.44	1.78	1.27
2020-07-18	17.78	11.78	2.79	0.25
2020-07-19	17.39	14.17	2.82	0.00
2020-07-20	16.11	12.06	2.82	0.00
2020-07-21	16.94	10.67	1.52	5.08
2020-07-22	17.33	9.61	2.29	0.51
2020-07-23	13.00	9.50	2.82	0.00
2020-07-24	11.00	10.39	2.82	0.00
2020-07-25	17.83	13.56	2.82	0.00
2020-07-26	16.17	13.11	2.82	0.00
2020-07-27	18.17	11.72	2.82	0.00
2020-07-28	18.11	9.67	2.82	0.00
2020-07-29	19.00	12.83	2.82	0.00
2020-07-30	15.78	12.17	1.52	2.29
2020-07-31	16.72	13.89	2.82	0.00
2020-08-01	17.11	7.22	2.82	0.00
2020-08-02	16.28	7.72	2.82	0.00
2020-08-03	15.61	4.83	2.82	0.00
2020-08-04	15.72	7.17	2.82	0.00
2020-08-05	15.78	5.83	2.82	0.00
2020-08-06	17.50	6.33	2.82	0.00
2020-08-07	17.89	8.39	2.79	1.52
2020-08-08	17.44	6.83	2.82	0.00
2020-08-09	21.67	8.44	2.82	0.00
2020-08-10	18.61	8.56	2.54	2.54
2020-08-11	19.78	9.33	4.06	0.25
2020-08-12	19.44	7.94	4.57	0.25
2020-08-13	16.89	7.50	2.82	0.00
2020-08-14	17.61	6.28	3.30	0.76
2020-08-15	19.00	6.50	2.82	0.00
2020-08-16	17.67	6.11	3.56	4.83
2020-08-17	13.56	6.61	1.52	7.87
2020-08-18	22.33	6.94	2.82	0.00
2020-08-19	19.50	7.33	2.54	2.54
2020-08-20	25.39	6.22	3.05	0.25
2020-08-21	22.83	6.72	2.82	0.00
2020-08-22	18.89	9.06	2.03	3.30
2020-08-23	15.50	9.11	1.78	1.78
2020-08-24	22.11	9.22	3.05	0.25
2020-08-25	19.00	5.83	2.82	0.00
2020-08-26	17.56	5.44	2.29	0.25
2020-08-27	25.94	7.67	2.82	0.00
2020-08-28	26.83	5.39	2.82	0.00
2020-08-29	23.83	8.06	2.82	0.00
2020-08-30	23.00	9.17	2.82	0.00
2020-08-31	18.28	7.50	2.82	0.00
2020-09-01	11.67	8.28	2.82	0.00
2020-09-02	18.64	7.89	2.82	0.00
2020-09-03	18.64	7.89	2.82	0.00
2020-09-04	18.64	7.89	2.82	0.00
2020-09-05	18.64	7.89	2.82	0.00
2020-09-06	18.64	7.89	2.82	0.00
2020-09-07	18.64	7.89	2.82	0.00
2020-09-08	18.64	7.89	2.82	0.00
2020-09-09	18.64	7.89	2.82	0.00
2020-09-10	18.64	7.89	2.82	0.00
2020-09-11	18.64	7.89	2.82	0.00
2020-09-12	18.64	7.89	2.82	0.00
2020-09-13	18.64	7.89	2.82	0.00
2020-09-14	18.64	7.89	2.82	0.00
2020-09-15	18.64	7.89	2.82	0.00
2020-09-16	18.64	7.89	2.82	0.00
2020-09-17	18.64	7.89	2.82	0.00
2020-09-18	18.64	7.89	2.82	0.00
2020-09-19	18.22	18.22	2.82	0.00
2020-09-20	18.64	7.89	2.82	0.00
2020-09-21	18.64	7.89	2.82	0.00
2020-09-22	18.64	7.89	2.82	0.00
2020-09-23	18.64	7.89	2.82	0.00
2020-09-24	8.72	8.72	12.45	0.51
2020-09-25	14.28	9.78	12.95	2.54
2020-09-26	18.33	9.17	2.82	0.00
2020-09-27	16.33	3.28	2.82	0.00
2020-09-28	17.28	1.39	2.82	0.00
2020-09-29	16.94	4.00	2.82	0.00
2020-09-30	16.06	5.06	3.05	0.76
2020-10-01	17.83	4.89	2.82	0.00
2020-10-02	16.61	2.89	2.29	0.25
2020-10-03	16.22	3.22	2.82	0.00
2020-10-04	17.00	9.22	2.82	0.00
2020-10-05	16.67	6.89	2.03	0.76
2020-10-06	18.78	6.11	2.54	2.54
2020-10-07	18.67	5.33	6.10	5.33
2020-10-08	17.39	8.17	9.14	13.46
2020-10-09	17.78	6.56	12.70	13.46
2020-10-10	18.17	4.22	2.82	0.00
2020-10-11	19.17	3.56	2.82	0.00
2020-10-12	17.50	6.22	2.82	0.00
2020-10-13	16.78	4.94	2.82	0.00
2020-10-14	17.44	3.56	2.82	0.00
2020-10-15	18.67	5.44	2.82	0.00
2020-10-16	17.06	4.56	2.82	0.00
2020-10-17	16.61	2.83	2.82	0.00
2020-10-18	18.06	6.72	2.82	0.00
2020-10-19	18.39	5.78	2.82	0.00
2020-10-20	18.11	4.83	2.82	0.00
2020-10-21	18.61	5.33	2.82	0.00
2020-10-22	17.39	6.39	2.82	0.00
2020-10-23	17.78	4.83	3.05	2.03
2020-10-24	16.50	5.83	2.03	0.76
2020-10-25	18.89	2.78	3.30	14.73
2020-10-26	19.67	8.00	3.30	0.25
2020-10-27	21.11	7.39	4.06	2.54
2020-10-28	19.72	8.67	3.05	1.27
2020-10-29	19.06	7.06	2.79	16.00
2020-10-30	17.17	9.50	1.78	0.51
2020-10-31	16.44	9.78	1.78	9.65
2020-11-01	15.50	9.94	1.27	7.11
2020-11-02	19.61	10.33	2.82	0.00
2020-11-03	19.11	8.67	6.10	1.27
2020-11-04	19.72	9.94	9.91	36.07
2020-11-05	16.56	7.72	11.68	38.61
2020-11-06	32.89	25.28	1.27	3.05
2020-11-07	18.64	7.89	2.82	0.00
2020-11-08	18.64	7.89	2.82	0.00
2020-11-09	15.67	10.78	1.78	6.35
2020-11-10	26.44	10.33	2.54	2.54
2020-11-11	16.67	10.22	1.52	2.29
2020-11-12	22.94	9.61	2.79	25.15
2020-11-13	16.17	8.28	1.78	2.29
2020-11-14	15.39	8.67	1.27	6.86
2020-11-15	18.28	10.67	2.29	0.76
2020-11-16	19.22	10.28	2.29	18.29
2020-11-17	16.00	10.06	1.52	7.11
2020-11-18	17.06	9.89	2.82	0.00
2020-11-19	18.64	7.89	2.82	0.00
2020-11-20	18.44	6.44	3.81	0.25
2020-11-21	18.56	5.83	7.11	2.03
2020-11-22	19.78	7.72	10.92	2.29
2020-11-23	10.11	10.11	10.92	2.29
2020-11-24	18.83	18.72	16.00	11.94
2020-11-25	25.06	22.89	2.82	0.00
2020-11-26	18.22	9.89	7.37	9.14
2020-11-27	19.28	9.78	10.16	11.18
2020-11-28	18.78	8.89	3.56	13.97
2020-11-29	21.67	7.56	6.60	14.73
2020-11-30	18.06	6.56	2.29	0.25
2020-12-01	20.11	7.78	3.56	12.70
2020-12-02	18.06	7.67	6.35	14.73
2020-12-03	20.17	7.50	9.91	14.73
2020-12-04	19.67	4.89	13.72	14.73
2020-12-05	17.72	5.89	16.26	14.73
2020-12-06	17.39	5.11	18.54	14.99
2020-12-07	24.22	5.61	2.82	0.00
2020-12-08	19.28	8.50	2.82	0.00
2020-12-09	17.83	5.11	2.82	0.00
2020-12-10	19.61	4.28	2.82	0.00
2020-12-11	19.22	5.33	2.82	0.00
