Date	Hour	Tmax(C)	Tmin(C)	ET0	Rain(mm)
2021-05-30	13:21:10	20.44	17.89	0.838	0.0
2021-05-30	14:23:48	20.44	17.89	1.092	0.0
2021-05-30	14:30:39	20.44	17.89	1.092	0.0
2021-05-30	15:00:41	20.44	17.89	1.092	0.0
2021-05-30	15:30:43	20.44	17.89	1.27	0.0
2021-05-30	16:30:46	19.11	18.33	0.0	0.0
2021-05-30	17:00:47	19.56	18.33	0.0	0.0
2021-05-30	17:30:49	19.56	17.28	0.152	0.0
2021-05-30	18:00:51	19.56	16.39	0.152	0.0
2021-05-30	18:30:03	19.56	15.39	0.17800000000000002	0.0
2021-05-30	18:30:55	19.56	15.33	0.17800000000000002	0.0
2021-05-31	09:00:15	16.28	9.39	0.102	0.0
2021-05-31	09:30:16	16.83	9.39	0.406	0.0
2021-05-31	10:00:18	17.28	9.39	0.406	0.0
2021-05-31	10:30:19	17.67	9.39	0.61	0.0
2021-05-31	11:00:21	18.78	9.39	0.61	0.0
2021-05-31	11:30:22	19.44	9.39	0.838	0.0
2021-05-31	12:00:25	20.0	9.39	0.838	0.0
2021-05-31	12:30:27	20.94	9.39	1.219	0.0
2021-05-31	13:00:29	20.94	9.39	1.219	0.0
2021-05-31	13:30:30	20.94	9.39	1.651	0.0
2021-05-31	14:00:32	21.44	9.39	1.651	0.0
2021-05-31	14:30:33	21.44	9.39	2.1590000000000003	0.0
2021-05-31	15:00:35	21.72	9.39	2.1590000000000003	0.0
2021-05-31	15:30:37	21.72	9.39	2.515	0.0
2021-05-31	16:00:39	21.72	9.39	2.515	0.0
2021-05-31	16:30:40	21.72	9.39	2.667	0.0
2021-05-31	17:00:42	21.72	9.39	2.667	0.0
2021-05-31	17:30:44	21.72	9.39	2.7430000000000003	0.0
2021-05-31	18:00:45	21.72	9.39	2.7430000000000003	0.0
2021-05-31	18:30:47	21.72	9.39	2.7689999999999997	0.0
2021-05-31	19:00:48	21.72	9.39	2.769	0.0
2021-05-31	19:30:51	21.72	9.39	2.7939999999999996	0.0
2021-05-31	20:00:02	21.72	9.39	2.794	0.0
2021-05-31	20:00:53	21.72	9.39	2.7939999999999996	0.0
2021-05-31	20:30:05	21.72	9.39	2.819	0.0
2021-05-31	20:30:56	21.72	9.39	2.819	0.0
2021-05-31	21:00:08	21.72	9.39	2.819	0.201
2021-05-31	21:00:59	21.72	9.39	2.819	0.201
2021-05-31	21:30:12	21.72	9.39	2.845	0.201
2021-05-31	22:00:14	21.72	9.39	2.845	0.201
2021-05-31	22:30:15	21.72	9.39	2.87	0.201
2021-05-31	23:00:17	21.72	9.39	2.87	0.201
2021-05-31	23:30:18	21.72	9.39	2.87	0.201
2021-06-01	00:00:20	21.72	9.39	2.87	0.201
2021-06-01	00:30:24	11.83	11.67	0.0	0.0
2021-06-01	01:00:26	11.83	11.56	0.0	0.0
2021-06-01	01:30:27	11.83	11.56	0.0	0.0
2021-06-01	02:00:29	11.83	11.22	0.0	0.0
2021-06-01	02:30:30	11.83	10.67	0.0	0.0
2021-06-01	03:00:32	11.83	10.5	0.0	0.0
2021-06-01	03:30:33	11.83	10.28	0.0	0.0
2021-06-01	04:00:35	11.83	10.22	0.0	0.0
2021-06-01	04:30:36	11.83	10.17	0.0	0.0
2021-06-01	05:00:38	11.83	10.17	0.0	0.0
2021-06-01	05:30:39	11.83	10.11	0.0	0.0
2021-06-01	06:00:41	11.83	10.11	0.0	0.0
2021-06-01	06:30:42	11.83	10.11	0.0	0.0
2021-06-01	07:00:44	11.83	10.11	0.0	0.0
2021-06-01	07:30:46	12.72	10.11	0.025	0.0
2021-06-01	08:00:47	13.67	10.11	0.025	0.0
2021-06-01	08:30:49	15.17	10.11	0.127	0.0
2021-06-01	09:00:50	16.39	10.11	0.127	0.0
2021-06-01	09:30:02	17.5	10.11	0.381	0.0
2021-06-01	09:30:53	17.61	10.11	0.381	0.0
2021-06-01	10:00:04	18.5	10.11	0.381	0.0
2021-06-01	10:00:55	18.5	10.11	0.381	0.0
2021-06-01	10:30:06	19.39	10.11	0.711	0.0
2021-06-01	10:30:58	19.5	10.11	0.711	0.0
2021-06-01	11:00:09	20.28	10.11	0.711	0.0
2021-06-01	11:01:00	20.28	10.11	0.711	0.0
2021-06-01	11:30:12	20.28	10.11	1.016	0.0
2021-06-07	00:00:42	22.33	10.28	2.515	0.201
2021-06-07	00:15:46	10.28	10.17	0.0	0.0
2021-06-07	00:30:48	10.56	10.17	0.0	0.0
2021-06-07	00:45:49	10.83	10.17	0.0	0.0
2021-06-07	01:00:52	11.22	10.17	0.0	0.0
2021-06-07	01:15:52	11.22	10.17	0.0	0.0
2021-06-07	01:30:53	11.22	10.17	0.0	0.0
2021-06-07	04:30:22	11.39	10.17	0.0	0.0
2021-06-07	09:00:39	15.11	10.17	0.102	0.0
2021-06-07	09:15:40	15.56	10.17	0.254	0.0
