Date	Date_captura	ET0	Rain(mm)	Tmax(C)	Tmin(C)
2020-06-01	2020-05-31	2.5	1.5	23.0	16.0
2020-06-02	2020-06-01	2.7	0.0	18.0	14.0
2020-06-03	2020-06-02	3.9	0.0	20.0	14.0
2020-06-04	2020-06-03	4.6	0.0	28.0	14.0
2020-06-05	2020-06-04	4.8	3.5	31.0	17.0
2020-06-06	2020-06-05	4.6	2.0	27.0	16.0
2020-06-07	2020-06-06	3.6	0.0	17.0	14.0
2020-06-08	2020-06-07	4.5	4.7	18.0	13.0
2020-06-09	2020-06-08	4.8	0.0	17.0	13.0
2020-06-10	2020-06-09	4.4	36.0	21.0	10.0
2020-06-11	2020-06-10	4.7	5.2	26.0	12.0
2020-06-12	2020-06-11	4.3	0.0	25.0	14.0
2020-06-13	2020-06-12	4.0	2.0	23.0	14.0
2020-06-14	2020-06-13	3.1	5.3	18.0	14.0
2020-06-15	2020-06-14	3.8	1.2	18.0	14.0
2020-06-16	2020-06-15	3.0	15.7	19.0	15.0
2020-06-17	2020-06-16	3.7	0.0	19.0	14.0
2020-06-18	2020-06-17	4.1	1.2	19.0	14.0
2020-06-19	2020-06-18	4.8	0.0	26.0	12.0
2020-06-20	2020-06-19	4.9	8.4	29.0	14.0
2020-06-21	2020-06-20	4.4	0.0	22.0	14.0
2020-06-22	2020-06-21	3.3	0.0	21.0	14.0
2020-06-23	2020-06-22	3.6	0.0	19.0	15.0
2020-06-24	2020-06-23	4.1	0.0	22.0	15.0
2020-06-25	2020-06-24	4.0	0.0	22.0	14.0
2020-06-26	2020-06-25	3.5	1.2	22.0	15.0
2020-06-27	2020-06-26	4.1	0.0	20.0	15.0
2020-06-28	2020-06-27	4.1	1.3	21.0	14.0
2020-06-29	2020-06-28	3.7	0.0	22.0	14.0
2020-06-30	2020-06-29	4.4	0.0	19.0	14.0
2020-07-01	2020-06-30	4.2	6.7	22.0	13.0
2020-07-02	2020-07-01	4.5	13.0	26.0	14.0
2020-07-03	2020-07-02	4.1	4.1	21.0	13.0
2020-07-04	2020-07-03	4.1	2.0	20.0	13.0
2020-07-05	2020-07-04	4.0	0.8	19.0	13.0
2020-07-06	2020-07-05	4.2	5.9	25.0	12.0
2020-07-07	2020-07-06	4.3	2.8	21.0	14.0
2020-07-08	2020-07-07	4.8	0.0	18.0	13.0
2020-07-09	2020-07-08	4.1	0.0	21.0	13.0
2020-07-10	2020-07-09	4.1	0.0	22.0	13.0
2020-07-11	2020-07-10	3.9	0.0	24.0	13.0
2020-07-12	2020-07-11	3.5	12.4	22.0	14.0
2020-07-13	2020-07-12	4.0	1.0	24.0	13.0
2020-07-14	2020-07-13	4.1	0.0	26.0	14.0
2020-07-15	2020-07-14	3.6	1.7	19.0	15.0
2020-07-16	2020-07-15	3.6	7.0	21.0	14.0
2020-07-17	2020-07-16	3.6	5.0	22.0	15.0
2020-07-18	2020-07-17	3.4	0.0	19.0	15.0
2020-07-19	2020-07-18	3.5	0.0	21.0	15.0
2020-07-20	2020-07-19	3.4	0.0	22.0	15.0
2020-07-21	2020-07-20	2.9	5.4	20.0	15.0
2020-07-22	2020-07-21	2.8	0.0	18.0	14.0
2020-07-23	2020-07-22	2.8	0.0	19.0	14.0
2020-07-24	2020-07-23	3.2	2.0	21.0	15.0
2020-07-25	2020-07-24	3.0	0.0	21.0	15.0
2020-07-26	2020-07-25	3.1	2.0	18.0	14.0
2020-07-27	2020-07-26	3.6	0.0	22.0	15.0
2020-07-28	2020-07-27	3.4	0.0	20.0	15.0
2020-07-29	2020-07-28	3.3	2.0	20.0	14.0
2020-07-30	2020-07-29	3.0	3.4	19.0	14.0
2020-07-31	2020-07-30	2.8	0.0	19.0	14.0
2020-08-01	2020-07-31	2.8	0.0	19.0	14.0
2020-08-02	2020-08-01	2.4	0.0	20.0	14.0
2020-08-03	2020-08-02	3.2	1.0	20.0	14.0
2020-08-04	2020-08-03	3.2	0.0	20.0	14.0
2020-08-05	2020-08-04	3.6	0.0	23.0	15.0
2020-08-06	2020-08-05	3.5	1.5	18.0	15.0
2020-08-07	2020-08-06	1.2	1.0	17.0	14.0
2020-08-08	2020-08-07	3.4	0.0	21.0	15.0
2020-08-09	2020-08-08	3.6	0.0	23.0	15.0
2020-08-10	2020-08-09	3.9	0.0	25.0	15.0
2020-08-11	2020-08-10	3.7	0.0	23.0	15.0
2020-08-12	2020-08-11	3.7	0.0	21.0	14.0
2020-08-13	2020-08-12	3.3	0.0	20.0	15.0
2020-08-14	2020-08-13	3.3	2.0	22.0	16.0
2020-08-15	2020-08-14	4.0	11.0	30.0	15.0
2020-08-16	2020-08-15	4.0	6.0	36.0	21.0
2020-08-17	2020-08-16	4.7	8.9	33.0	20.0
2020-08-18	2020-08-17	3.2	1.5	32.0	20.0
2020-08-19	2020-08-18	2.8	3.5	30.0	20.0
2020-08-20	2020-08-19	3.6	1.0	29.0	20.0
2020-08-21	2020-08-20	3.5	1.4	25.0	19.0
2020-08-22	2020-08-21	3.7	3.3	22.0	15.0
2020-08-23	2020-08-22	3.4	1.0	25.0	16.0
2020-08-24	2020-08-23	3.1	0.0	25.0	17.0
2020-08-25	2020-08-24	2.3	0.0	26.0	16.0
2020-08-26	2020-08-25	2.9	0.0	25.0	17.0
2020-08-27	2020-08-26	2.7	0.0	20.0	16.0
2020-08-28	2020-08-27	2.3	0.0	17.0	14.0
2020-08-29	2020-08-28	2.7	0.0	19.0	14.0
2020-08-30	2020-08-29	2.5	0.0	20.0	14.0
2020-08-31	2020-08-30	2.6	0.0	20.0	14.0
2020-09-01	2020-08-31	2.7	0.0	19.0	14.0
2020-09-02	2020-09-01	2.5	1.7	20.0	14.0
2020-09-03	2020-09-02	1.8	4.9	20.0	14.0
2020-09-04	2020-09-03	2.0	2.0	20.0	16.0
2020-09-05	2020-09-04	2.0	13.0	19.0	15.0
2020-09-06	2020-09-05	2.6	12.3	22.0	14.0
2020-09-07	2020-09-06	3.7	0.0	33.0	15.0
2020-09-08	2020-09-07	4.1	0.0	37.0	21.0
2020-09-09	2020-09-08	4.3	2.0	35.0	19.0
2020-09-10	2020-09-09	1.7	0.0	25.0	16.0
2020-09-11	2020-09-10	0.0	2.0	17.0	15.0
2020-09-12	2020-09-11	0.7	6.0	19.0	15.0
2020-09-13	2020-09-12	1.7	2.0	22.0	13.0
2020-09-14	2020-09-13	1.8	1.0	25.0	13.0
2020-09-15	2020-09-14	1.4	0.0	19.0	14.0
2020-09-16	2020-09-15	1.7	2.2	20.0	14.0
2020-09-17	2020-09-16	2.2	4.4	22.0	15.0
2020-09-18	2020-09-17	2.0	1.0	24.0	17.0
2020-09-19	2020-09-18	2.0	6.5	22.0	18.0
2020-09-20	2020-09-19	2.5	7.4	21.0	17.0
2020-09-21	2020-09-20	2.3	0.0	23.0	17.0
2020-09-22	2020-09-21	2.5	0.0	28.0	14.0
2020-09-23	2020-09-22	2.4	0.0	22.0	15.0
2020-09-24	2020-09-23	2.4	1.7	21.0	16.0
2020-09-25	2020-09-24	2.5	0.0	22.0	13.0
2020-09-26	2020-09-25	2.5	0.0	23.0	17.0
2020-09-27	2020-09-26	2.4	0.0	20.0	16.0
2020-09-28	2020-09-27	2.5	0.0	23.0	14.0
2020-09-29	2020-09-28	3.2	0.0	35.0	15.0
2020-09-30	2020-09-29	3.3	1.0	34.0	18.0
2020-10-01	2020-09-30	2.4	0.0	22.0	16.0
2020-10-02	2020-10-01	2.2	1.7	27.0	16.0
2020-10-03	2020-10-02	2.4	2.2	34.0	18.0
2020-10-04	2020-10-03	2.4	0.0	31.0	17.0
2020-10-05	2020-10-04	2.6	1.3	30.0	15.0
2020-10-06	2020-10-05	2.4	0.0	23.0	14.0
2020-10-07	2020-10-06	2.1	7.3	24.0	12.0
2020-10-08	2020-10-07	2.2	5.3	22.0	12.0
2020-10-09	2020-10-08	1.5	0.0	17.0	13.0
2020-10-10	2020-10-09	1.4	0.0	18.0	15.0
2020-10-11	2020-10-10	1.4	0.0	20.0	15.0
2020-10-12	2020-10-11	2.0	0.0	21.0	14.0
2020-10-13	2020-10-12	2.3	0.0	22.0	15.0
2020-10-14	2020-10-13	2.3	1.0	27.0	13.0
2020-10-15	2020-10-14	2.3	0.0	27.0	14.0
2020-10-16	2020-10-15	2.3	0.0	28.0	16.0
2020-10-17	2020-10-16	3.4	0.0	34.0	17.0
2020-10-18	2020-10-17	3.5	0.0	31.0	19.0
2020-10-19	2020-10-18	3.7	0.0	32.0	16.0
2020-10-20	2020-10-19	3.1	0.0	26.0	15.0
2020-10-21	2020-10-20	2.1	0.0	24.0	14.0
2020-10-22	2020-10-21	2.4	0.0	26.0	12.0
2020-10-23	2020-10-22	2.4	4.0	28.0	14.0
2020-10-24	2020-10-23	1.9	0.0	21.0	13.0
2020-10-25	2020-10-24	2.0	13.0	19.0	12.0
2020-10-26	2020-10-25	1.4	0.0	20.0	12.0
2020-10-27	2020-10-26	1.8	0.0	22.0	13.0
2020-10-28	2020-10-27	3.9	2.0	24.0	13.0
2020-10-29	2020-10-28	3.7	23.0	26.0	11.0
2020-10-30	2020-10-29	2.9	1.4	22.0	10.0
2020-10-31	2020-10-30	1.9	13.0	22.0	9.0
2020-11-01	2020-10-31	1.7	6.3	19.0	9.0
2020-11-02	2020-11-01	1.8	0.0	24.0	9.0
2020-11-03	2020-11-02	1.8	13.0	23.0	10.0
2020-11-04	2020-11-03	1.9	18.0	25.0	11.0
2020-11-05	2020-11-04	1.8	1.5	21.0	10.0
2020-11-06	2020-11-05	1.7	9.0	22.0	10.0
2020-11-07	2020-11-06	1.9	8.5	24.0	12.0
2020-11-08	2020-11-07	2.1	1.8	16.0	11.0
2020-11-09	2020-11-08	1.6	3.0	15.0	9.0
2020-11-10	2020-11-09	2.3	18.5	13.0	5.0
2020-11-11	2020-11-10	1.8	5.1	14.0	3.0
2020-11-12	2020-11-11	1.7	33.3	16.0	4.0
2020-11-13	2020-11-12	0.9	2.4	16.0	9.0
2020-11-14	2020-11-13	1.4	5.0	16.0	6.0
2020-11-15	2020-11-14	0.9	19.0	17.0	7.0
2020-11-16	2020-11-15	1.1	0.0	17.0	8.0
2020-11-17	2020-11-16	1.4	5.3	17.0	6.0
2020-11-18	2020-11-17	1.4	19.0	20.0	8.0
2020-11-19	2020-11-18	1.2	20.5	18.0	12.0
2020-11-20	2020-11-19	1.1	0.0	18.0	11.0
2020-11-21	2020-11-20	1.4	0.0	15.0	8.0
2020-11-22	2020-11-21	1.6	1.0	16.0	6.0
2020-11-23	2020-11-22	1.3	4.0	16.0	6.0
2020-11-24	2020-11-23	1.3	9.6	13.0	4.0
2020-11-25	2020-11-24	1.0	0.0	15.0	8.0
2020-11-26	2020-11-25	1.5	7.0	18.0	6.0
2020-11-27	2020-11-26	1.3	5.3	15.0	0.0
2020-11-28	2020-11-27	1.9	24.0	18.0	5.0
2020-11-29	2020-11-28	1.5	3.1	17.0	4.0
2020-11-30	2020-11-29	1.3	0.0	15.0	4.0
2020-12-01	2020-11-30	1.3	21.0	15.0	3.0
2020-12-02	2020-12-01	1.2	1.3	15.0	4.0
2020-12-03	2020-12-02	0.9	0.0	16.0	5.0
2020-12-04	2020-12-03	1.3	0.0	16.0	5.0
2020-12-05	2020-12-04	1.3	0.0	17.0	7.0
2020-12-06	2020-12-05	1.5	0.0	18.0	6.0
2020-12-07	2020-12-06	1.2	0.0	16.0	6.0
2020-12-08	2020-12-07	1.0	0.0	15.0	6.0
2020-12-09	2020-12-08	2.2	0.0	23.0	6.0
2020-12-10	2020-12-09	1.9	1.0	20.0	8.0
2020-12-11	2020-12-10	1.4	0.0	17.0	7.0
2020-12-12	2020-12-11	1.1	0.0	15.0	8.0
2020-12-13	2020-12-12	0.5	0.0	12.0	8.0
2020-12-14	2020-12-13	0.7	0.0	13.0	8.0
2020-12-15	2020-12-14	0.2	7.8	14.0	8.0
2020-12-16	2020-12-15	1.1	0.0	13.0	6.0
2020-12-17	2020-12-16	0.9	0.0	14.0	6.0
2020-12-18	2020-12-17	1.1	0.0	15.0	6.0
2020-12-19	2020-12-18	0.9	0.0	13.0	7.0
2020-12-20	2020-12-19	1.1	0.0	15.0	5.0
2020-12-21	2020-12-20	1.1	0.0	15.0	4.0
2020-12-22	2020-12-21	1.1	0.0	14.0	3.0
