"Latitude";"Longitude";"Date Time (YYYY-MM-DD hh:mm:ss)";"Temperature (°C)";"RH (%)";"Radiation (kW/m^2)";"Wind D (°)";"Wind S (km/h)";"Rain (mm)";"ET daily (ET)";"Rain daily (mm)";"Temperature Min (°C)";"Temperature Max (°C)";"Soil moisture_1 (%)";"Soil moisture_2 (%)";"Root depth (%)";"Seedtime (YYYY-MM-DD hh:mm:ss)"
"1.234";"-78.4";"2020-03-25 12:30:07";"20.28";"49";"1.11";"174";"2";"0";"1.27";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 12:30:07"
"1.234";"-78.4";"2020-03-25 12:45:08";"19.28";"47";"0.19";"258";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 12:45:08"
"1.234";"-78.4";"2020-03-25 13:00:08";"18.5";"47";"0.1";"184";"2";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:00:08"
"1.234";"-78.4";"2020-03-25 13:15:08";"17.83";"52";"0.1";"149";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:15:08"
"1.234";"-78.4";"2020-03-25 13:30:08";"17.06";"57";"0.18";"110";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:30:08"
"1.234";"-78.4";"2020-03-25 13:45:08";"17.72";"56";"0.41";"110";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 13:45:08"
"1.234";"-78.4";"2020-03-25 14:00:08";"18.5";"52";"0.3";"70";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:00:08"
"1.234";"-78.4";"2020-03-25 14:15:08";"19.28";"49";"0.58";"118";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:15:08"
"1.234";"-78.4";"2020-03-25 14:30:08";"18.83";"51";"0.21";"175";"0";"0";"2.03";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:30:08"
"1.234";"-78.4";"2020-03-25 14:45:08";"18.56";"48";"0.14";"176";"0";"0";"2.29";"0.25";"11.17";"20.28";"35.1";"40.2";"123";"2020-03-25 14:45:08"
