data	hour	depl	vwc	depl_t1	d_rain	irr	etc	Fc	L	
2021-06-09	00:00:02	0.867	45.506	0.867	0.0	0	0.0	46.373	100.0
2021-06-09	00:15:06	-0.127	46.5	-0.127	0	0	0.0	46.373	100.0
2021-06-09	04:30:09	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	04:45:23	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	05:00:37	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	05:15:51	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	05:30:07	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	05:45:18	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	06:00:29	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	06:15:44	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	06:30:04	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	06:45:11	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	07:00:18	-0.127	46.5	-0.127	0.0	0	0.0	46.373	100.0
2021-06-09	07:15:24	-0.094	46.467	-0.127	0.0	0	0.033	46.373	100.0
2021-06-09	07:30:30	-0.094	46.467	-0.094	0.0	0	0.0	46.373	100.0
2021-06-09	07:45:35	-0.094	46.467	-0.094	0.0	0	0.0	46.373	100.0
2021-06-09	08:00:39	-0.094	46.467	-0.094	0.0	0	0.0	46.373	100.0
2021-06-09	08:15:43	-0.017	46.39	-0.094	0.0	0	0.077	46.373	100.0
2021-06-09	08:30:49	-0.017	46.39	-0.017	0.0	0	0.0	46.373	100.0
2021-06-09	08:45:57	-0.017	46.39	-0.017	0.0	0	0.0	46.373	100.0
2021-06-09	09:00:02	-0.017	46.39	-0.017	0.0	0	0.0	46.373	100.0
2021-06-09	09:15:08	0.126	46.247	-0.017	0.0	0	0.143	46.373	100.0
2021-06-09	09:30:13	0.126	46.247	0.126	0.0	0	0.0	46.373	100.0
2021-06-09	09:45:18	0.126	46.247	0.126	0.0	0	0.0	46.373	100.0
2021-06-09	10:00:22	0.126	46.247	0.126	0.0	0	0.0	46.373	100.0
2021-06-09	10:15:27	0.323	46.05	0.126	0.0	0	0.197	46.373	100.0
2021-06-09	10:30:32	0.323	46.05	0.323	0.0	0	0.0	46.373	100.0
2021-06-09	10:45:38	0.323	46.05	0.323	0.0	0	0.0	46.373	100.0
2021-06-09	11:00:50	0.323	46.05	0.323	0.0	0	0.0	46.373	100.0
2021-06-09	12:00:07	0.542	45.831	0.323	0.0	0	0.219	46.373	100.0
2021-06-09	12:15:08	0.904	45.469	0.542	0.0	0.0	0.362	46.373	100.0
2021-06-09	12:30:09	0.904	45.469	0.904	0.0	0	0.0	46.373	100.0
2021-06-09	12:45:11	0.904	45.469	0.904	0.0	0	0.0	46.373	100.0
2021-06-09	13:00:13	0.904	45.469	0.904	0.0	0	0.0	46.373	100.0
2021-06-09	13:15:53	1.321	45.052	0.904	0.0	0	0.417	46.373	100.0
2021-06-09	13:30:59	1.321	45.052	1.321	0.0	0	0.0	46.373	100.0
2021-06-09	13:45:06	1.321	45.052	1.321	0.0	0	0.0	46.373	100.0
2021-06-09	14:00:13	1.321	45.052	1.321	0.0	0	0.0	46.373	100.0
2021-06-09	14:15:19	1.683	44.69	1.321	0.0	0	0.362	46.373	100.0
2021-06-09	14:30:23	1.683	44.69	1.683	0.0	0	0.0	46.373	100.0
2021-06-09	14:45:28	1.683	44.69	1.683	0.0	0	0.0	46.373	100.0
2021-06-09	15:00:32	1.083	45.29	1.683	0.6	0	0.0	46.373	100.0
2021-06-09	15:15:37	1.193	45.18	1.083	0.0	0	0.11	46.373	100.0
2021-06-09	15:30:42	1.193	45.18	1.193	0.0	0	0.0	46.373	100.0
2021-06-09	15:45:39	1.193	45.18	1.193	0.0	0	0.0	46.373	100.0
2021-06-09	16:00:40	1.193	45.18	1.193	0.0	0	0.0	46.373	100.0
2021-06-09	16:15:41	1.368	45.005	1.193	0.0	0	0.175	46.373	100.0
2021-06-09	16:30:42	1.368	45.005	1.368	0.0	0	0.0	46.373	100.0
2021-06-09	16:45:43	1.368	45.005	1.368	0.0	0	0.0	46.373	100.0
2021-06-09	17:00:44	1.368	45.005	1.368	0.0	0	0.0	46.373	100.0
2021-06-09	17:15:44	1.045	45.328	1.368	0.4	0	0.077	46.373	100.0
2021-06-09	17:30:45	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	17:45:46	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	18:00:48	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	18:15:50	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	18:30:51	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	18:45:52	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	19:00:53	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	19:15:53	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	19:30:54	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	19:45:55	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	20:00:56	1.045	45.328	1.045	0.0	0	0.0	46.373	100.0
2021-06-09	20:15:57	0.845	45.528	1.045	0.2	0	0.0	46.373	100.0
2021-06-09	20:30:57	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	22:00:27	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	22:15:31	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	22:30:37	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	22:45:41	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	23:00:46	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	23:15:50	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	23:30:54	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-09	23:45:59	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-10	00:00:04	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-10	00:15:08	0.845	45.528	0.845	0	0	0.0	46.373	100.0
2021-06-10	00:30:11	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-10	00:45:15	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-10	01:00:19	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-10	01:15:23	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
2021-06-10	01:30:27	0.845	45.528	0.845	0.0	0	0.0	46.373	100.0
